InvoiceNumber,OrderNumber,InvoiceType,InvoiceStatus,InvoiceDate,DueDate,BillDate,ShipDate,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,CommissionAmount,CommissionAmount2,CommissionAmount3,CommissionAmount4,TotalWeight,ActualWeight,IsEdi,OrderShipmentNum,ShippingCarrier,ShippingClass,DistributionCenterNum,CentralOrderNum,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,EndBuyerUserId,EndBuyerName,EndBuyerEmail,ShipToName,ShipToSuffix,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,DepartmentCode,DivisionCode,Seq,InvoiceItemType,InvoiceItemStatus,ItemDate,EtaArrivalDate,SKU,WarehouseCode,LotNum,Description,UOM,PackType,PackQty,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,OrderAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,DBChannelOrderLineRowID,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ChannelItemID,UPC,EAN,MPN,ExternalBarcode,CustomerSKU,PodInfo
INV-SO2026-000001-000001,SO2026-000001,1,4,2026-02-26,2026-02-28,2026-02-27,2026-02-26,JCPenney,JCPenney,,,USD,168.50,173.99,173.99,168.50,0.00,0,0.00,0,0.00,5.49,0.00,,,,,173.99,,0.00,,,,,,,,,,,,,,,,,,,,,30007,10575,30007-2026-000001,,,,,,,,JCPenney Shipping,,JCPenney Stores,213 Gateway Rd,Dock 13,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,2026-02-26,,CORA-01-YLW-5,,,,EA,,,,,,,2,2,0,0,,10.75,10.75,21.50,21.50,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000001-000001,SO2026-000001,1,4,2026-02-26,2026-02-28,2026-02-27,2026-02-26,JCPenney,JCPenney,,,USD,168.50,173.99,173.99,168.50,0.00,0,0.00,0,0.00,5.49,0.00,,,,,173.99,,0.00,,,,,,,,,,,,,,,,,,,,,30007,10575,30007-2026-000001,,,,,,,,JCPenney Shipping,,JCPenney Stores,213 Gateway Rd,Dock 13,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,2026-02-26,,FD3601033-3022FROZENPD-L-STD,,,,EA,,,,,,,3,3,0,0,,49.00,49.00,147.00,147.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000002-000002,SO2026-000002,1,4,2026-02-24,2026-02-28,2026-02-26,2026-02-24,Etsy-VS,Etsy VS,,,USD,182.00,187.02,187.02,182.00,0.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,,,,,,,10008,10572,10008-2026-000002,,,,,,,,Etsy VS Shipping,,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,2026-02-24,,FA13512DM-1847DPOCN-32-32,,,,EA,,,,,,,2,2,0,0,,34.00,34.00,68.00,68.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000002-000002,SO2026-000002,1,4,2026-02-24,2026-02-28,2026-02-26,2026-02-24,Etsy-VS,Etsy VS,,,USD,182.00,187.02,187.02,182.00,0.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,,,,,,,10008,10572,10008-2026-000002,,,,,,,,Etsy VS Shipping,,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,2026-02-24,,AUSTIN-06-CAMEL-7,,,,EA,,,,,,,4,4,0,0,,10.00,10.00,40.00,40.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000002-000002,SO2026-000002,1,4,2026-02-24,2026-02-28,2026-02-26,2026-02-24,Etsy-VS,Etsy VS,,,USD,182.00,187.02,187.02,182.00,0.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,,,,,,,10008,10572,10008-2026-000002,,,,,,,,Etsy VS Shipping,,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,2026-02-24,,ADELINE-03-BROWN-8.5,,,,EA,,,,,,,4,4,0,0,,18.50,18.50,74.00,74.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000003-000003,SO2026-000003,1,4,2026-01-23,2026-02-22,2026-01-23,2026-01-23,AMZ-eCom,AMZ eCom,,,USD,248.50,257.73,257.73,248.50,0.00,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-000003,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2026-01-23,,ADELINE-03-GOLD-9,,,,EA,,,,,,,3,3,0,0,,18.50,18.50,55.50,55.50,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000003-000003,SO2026-000003,1,4,2026-01-23,2026-02-22,2026-01-23,2026-01-23,AMZ-eCom,AMZ eCom,,,USD,248.50,257.73,257.73,248.50,0.00,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-000003,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2026-01-23,,ADELINE-03-BLACK-7.5,,,,EA,,,,,,,2,2,0,0,,18.50,18.50,37.00,37.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000003-000003,SO2026-000003,1,4,2026-01-23,2026-02-22,2026-01-23,2026-01-23,AMZ-eCom,AMZ eCom,,,USD,248.50,257.73,257.73,248.50,0.00,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-000003,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2026-01-23,,FA16105WV-MIDNIGHTCAMO,,,,EA,,,,,,,4,4,0,0,,39.00,39.00,156.00,156.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000004-000004,SO2026-000004,1,4,2026-01-06,2026-02-05,2026-01-06,2026-01-10,Magento,Magento,,,USD,129.00,145.93,145.93,129.00,0.00,0,0.00,0,0.00,16.93,0.00,,,,,145.93,,0.00,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-000004,,,,,,,,Magento Shipping,,Magento Platform,216 Century Blvd,Dock 16,Los Angeles,CA,90008,Los Angeles,USA,ship-magento@example.com,(213) 555-2506,,,,,,,,,,,,,,,,,,2026-01-06,,CORA-01-YLW-B12,,,,EA,,,,,,,1,1,0,0,,129.00,129.00,129.00,129.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2026-000005-000005,SO2026-000005,1,4,2026-02-02,2026-02-28,2026-02-03,2026-02-02,Etsy-LS,Etsy LS,,,USD,196.00,197.42,197.42,196.00,0.00,0,0.00,0,0.00,1.42,0.00,,,,,197.42,,0.00,,,,,,,,,,,,,,,,,,,,,10008,10571,10008-2026-000005,,,,,,,,Etsy LS Shipping,,Etsy LS Marketplace,205 Mission St,Dock 5,San Francisco,CA,94103,San Francisco,USA,ship-etsy-ls@example.com,(415) 555-1406,,,,,,,,,,,,,,,,,,2026-02-02,,FD9801506P-BLACKBROWN-3X-STD,,,,EA,,,,,,,4,4,0,0,,49.00,49.00,196.00,196.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
