PoNum,PoType,PoStatus,PoDate,EtaShipDate,EtaArrivalDate,CancelDate,VendorCode,VendorName,Currency,SubTotalAmount,TotalAmount,TaxRate,TaxAmount,TaxableAmount,NonTaxableAmount,ShippingCarrier,ShippingClass,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,CustomerCode,CustomerName,OrderNumber,InvoiceNumber,ShipToName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAttention,BillToAddressLine1,BillToAddressLine2,BillToCity,BillToState,BillToStateFullName,BillToPostalCode,BillToPostalCodeExt,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,BillToNightPhone,Notes,Container,Seq,WarehouseCode,SKU,Description,ItemTotalAmount,PoQty,Price,ItemNotes,UPC,EAN,MPN,ExternalBarcode,VendorSku
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,AVIANA-06-WHITE-5,FUR SLIPPER,227.50,14,16.25,,,,,,AVIANA-06-WHITE-5
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,F13031C-1742VNTGDM-29-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,408.00,12,34.00,,809666255003,,,,F13031C-1742VNTGDM-29-STD
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,01,CORA-01-TAUP-6,CROSS FRONT SANDAL,21.50,2,10.75,,,,,,CORA-01-TAUP-6
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,01,173451-1183CITIZEN-25-STD,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,312.00,13,24.00,,809666377989,,,,173451-1183CITIZEN-25-STD
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,01,F13031C-1742VNTGBJ-32-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,306.00,9,34.00,,809666254853,,,,F13031C-1742VNTGBJ-32-STD
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,01,AUSTIN-06-BLUSH-6,SNEAKER,200.00,20,10.00,,,,,,AUSTIN-06-BLUSH-6
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,01,CORA-01-BLK-6,CROSS FRONT SANDAL,21.50,2,10.75,,,,,,CORA-01-BLK-6
5000000,0,1,2026-01-20,2026-01-22,2026-01-26,2026-01-30,GOLDEN-SA,,USD,1768.50,1768.50,0,0.00,1768.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,01,F13031C-1742VNTGCO-27-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,272.00,8,34.00,,809666254891,,,,F13031C-1742VNTGCO-27-STD
5000001,0,1,2026-01-12,2026-01-19,2026-01-23,2026-01-26,PACIFIC-CM,,USD,97.50,97.50,0,0.00,97.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,AVIANA-06-WHITE-6.5,FUR SLIPPER,97.50,6,16.25,,,,,,AVIANA-06-WHITE-6.5
5000002,0,1,2026-01-30,2026-02-01,2026-02-03,2026-02-14,SILICON-GC,,USD,519.50,519.50,0,0.00,519.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,FD9801506P-BLACK-2X-STD,Natalia Solid Button-Up Wrap Lantern Sleeve Dress,98.00,2,49.00,,809666395297,,,,FD9801506P-BLACK-2X-STD
5000002,0,1,2026-01-30,2026-02-01,2026-02-03,2026-02-14,SILICON-GC,,USD,519.50,519.50,0,0.00,519.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,ADELINE-02-BLACK-8,WOVEN SLIDE SANDAL,149.50,13,11.50,,,,,,ADELINE-02-BLACK-8
5000002,0,1,2026-01-30,2026-02-01,2026-02-03,2026-02-14,SILICON-GC,,USD,519.50,519.50,0,0.00,519.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,01,FA13501DM-1464KINGSC-27-30,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,272.00,8,34.00,,8.09667E+11,,,,FA13501DM-1464KINGSC-27-30
5000003,0,1,2026-02-12,2026-02-17,2026-02-22,2026-02-26,BAY-FW,,USD,2494.50,2494.50,0,0.00,2494.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,CORA-01-TAUP-S,CROSS FRONT SANDAL,387.00,3,129.00,,,,,,CORA-01-TAUP-S
5000003,0,1,2026-02-12,2026-02-17,2026-02-22,2026-02-26,BAY-FW,,USD,2494.50,2494.50,0,0.00,2494.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,FA16105WV-MIDNIGHTBLUE-M-STD,Patricia Woven Chiffon Midnight Blue Palazzo Pant W Elastic Waist,390.00,10,39.00,,809666795547,,,,FA16105WV-MIDNIGHTBLUE-M-STD
5000003,0,1,2026-02-12,2026-02-17,2026-02-22,2026-02-26,BAY-FW,,USD,2494.50,2494.50,0,0.00,2494.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,01,CAMILA-06-BLACK-B12,COSS FRONT SLIP ON SLIDES,960.00,10,96.00,,,,,,CAMILA-06-BLACK-B12
5000003,0,1,2026-02-12,2026-02-17,2026-02-22,2026-02-26,BAY-FW,,USD,2494.50,2494.50,0,0.00,2494.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,01,ADELINE-03-TAUPE-8.5,BUCKLE FRONT FLAT SANDALS,222.00,12,18.50,,,,,,ADELINE-03-TAUPE-8.5
5000003,0,1,2026-02-12,2026-02-17,2026-02-22,2026-02-26,BAY-FW,,USD,2494.50,2494.50,0,0.00,2494.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,01,AVIANA-06-PINK-S,FUR SLIPPER,535.50,6,89.25,,,,,,AVIANA-06-PINK-S
5000004,0,1,2026-02-03,2026-02-06,2026-02-14,2026-02-19,OAKLAND-UA,,USD,1390.86,1390.86,0,0.00,1390.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,CAMILA-06-NUDE-9.5,COSS FRONT SLIP ON SLIDES,104.00,13,8.00,,,,,,CAMILA-06-NUDE-9.5
5000004,0,1,2026-02-03,2026-02-06,2026-02-14,2026-02-19,OAKLAND-UA,,USD,1390.86,1390.86,0,0.00,1390.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,ASTRID-01-GREY-B12,SLIP ON SNEAKER,666.82,14,47.63,,,,,,ASTRID-01-GREY-B12
