InvoiceNumber,OrderNumber,InvoiceType,InvoiceStatus,InvoiceDate,DueDate,BillDate,ShipDate,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,CommissionAmount,CommissionAmount2,CommissionAmount3,CommissionAmount4,TotalWeight,ActualWeight,IsEdi,OrderShipmentNum,ShippingCarrier,ShippingClass,DistributionCenterNum,CentralOrderNum,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,EndBuyerUserId,EndBuyerName,EndBuyerEmail,ShipToName,ShipToSuffix,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,DepartmentCode,DivisionCode,Seq,InvoiceItemType,InvoiceItemStatus,ItemDate,EtaArrivalDate,SKU,WarehouseCode,LotNum,Description,UOM,PackType,PackQty,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,OrderAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,DBChannelOrderLineRowID,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ChannelItemID,UPC,EAN,MPN,ExternalBarcode,CustomerSKU,PodInfo
INV-SO2025-000001-000001,SO2025-000001,1,4,2025-06-17,2025-07-17,2025-06-18,2025-06-21,AMZ-eCom,AMZ eCom,,,USD,84.75,98.76,98.76,84.75,0.00,0,0.00,0,0.00,14.01,0.00,,,,,98.76,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2025-000001,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2025-06-17,,ADELINE-02-PINK-5.5,,,,EA,,,,,,,3,3,0,0,,11.50,11.50,34.50,34.50,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000001-000001,SO2025-000001,1,4,2025-06-17,2025-07-17,2025-06-18,2025-06-21,AMZ-eCom,AMZ eCom,,,USD,84.75,98.76,98.76,84.75,0.00,0,0.00,0,0.00,14.01,0.00,,,,,98.76,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2025-000001,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2025-06-17,,AVIANA-06-PINK-10,,,,EA,,,,,,,1,1,0,0,,16.25,16.25,16.25,16.25,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000001-000001,SO2025-000001,1,4,2025-06-17,2025-07-17,2025-06-18,2025-06-21,AMZ-eCom,AMZ eCom,,,USD,84.75,98.76,98.76,84.75,0.00,0,0.00,0,0.00,14.01,0.00,,,,,98.76,,0.00,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2025-000001,,,,,,,,AMZ eCom Shipping,,AMZ eCom Retail,201 Harbor Ave,Dock 1,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,2025-06-17,,FA13501DM-1464KINGSC-29-30,,,,EA,,,,,,,1,1,0,0,,34.00,34.00,34.00,34.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000002-000002,SO2025-000002,1,4,2025-05-29,2025-07-13,2025-05-31,2025-06-01,Shopify,Shopify,,,USD,101.25,113.58,113.58,101.25,0.00,0,0.00,0,0.00,12.33,0.00,,,,,113.58,,0.00,,,,,,,,,,,,,,,,,,,,,20001,10580,20001-2025-000002,,,,,,,,Shopify Shipping,,Shopify Commerce,217 Barranca Pkwy,Dock 17,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,,,,,,,,,,,,,,,,,,2025-05-29,,ADELINE-02-WHITE-9.5,,,,EA,,,,,,,3,3,0,0,,11.50,11.50,34.50,34.50,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000002-000002,SO2025-000002,1,4,2025-05-29,2025-07-13,2025-05-31,2025-06-01,Shopify,Shopify,,,USD,101.25,113.58,113.58,101.25,0.00,0,0.00,0,0.00,12.33,0.00,,,,,113.58,,0.00,,,,,,,,,,,,,,,,,,,,,20001,10580,20001-2025-000002,,,,,,,,Shopify Shipping,,Shopify Commerce,217 Barranca Pkwy,Dock 17,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,,,,,,,,,,,,,,,,,,2025-05-29,,CORA-01-TAUP-12,,,,EA,,,,,,,3,3,0,0,,10.75,10.75,32.25,32.25,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000002-000002,SO2025-000002,1,4,2025-05-29,2025-07-13,2025-05-31,2025-06-01,Shopify,Shopify,,,USD,101.25,113.58,113.58,101.25,0.00,0,0.00,0,0.00,12.33,0.00,,,,,113.58,,0.00,,,,,,,,,,,,,,,,,,,,,20001,10580,20001-2025-000002,,,,,,,,Shopify Shipping,,Shopify Commerce,217 Barranca Pkwy,Dock 17,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,,,,,,,,,,,,,,,,,,2025-05-29,,ADELINE-02-CAMEL-8.5,,,,EA,,,,,,,3,3,0,0,,11.50,11.50,34.50,34.50,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000003-000003,SO2025-000003,1,4,2025-01-30,2025-03-31,2025-01-30,2025-02-04,Macys,Macys,,,USD,171.00,185.97,185.97,171.00,0.00,0,0.00,0,0.00,14.97,0.00,,,,,185.97,,0.00,,,,,,,,,,,,,,,,,,,,,30005,10574,30005-2025-000003,,,,,,,,Macys Shipping,,Macys Stores,215 King St,Dock 15,San Francisco,CA,94107,San Francisco,USA,ship-macys@example.com,(415) 555-2406,,,,,,,,,,,,,,,,,,2025-01-30,,ADELINE-03-BROWN-7.5,,,,EA,,,,,,,2,2,0,0,,18.50,18.50,37.00,37.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000003-000003,SO2025-000003,1,4,2025-01-30,2025-03-31,2025-01-30,2025-02-04,Macys,Macys,,,USD,171.00,185.97,185.97,171.00,0.00,0,0.00,0,0.00,14.97,0.00,,,,,185.97,,0.00,,,,,,,,,,,,,,,,,,,,,30005,10574,30005-2025-000003,,,,,,,,Macys Shipping,,Macys Stores,215 King St,Dock 15,San Francisco,CA,94107,San Francisco,USA,ship-macys@example.com,(415) 555-2406,,,,,,,,,,,,,,,,,,2025-01-30,,CAMILA-06-GREEN-6.5,,,,EA,,,,,,,4,4,0,0,,8.00,8.00,32.00,32.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000003-000003,SO2025-000003,1,4,2025-01-30,2025-03-31,2025-01-30,2025-02-04,Macys,Macys,,,USD,171.00,185.97,185.97,171.00,0.00,0,0.00,0,0.00,14.97,0.00,,,,,185.97,,0.00,,,,,,,,,,,,,,,,,,,,,30005,10574,30005-2025-000003,,,,,,,,Macys Shipping,,Macys Stores,215 King St,Dock 15,San Francisco,CA,94107,San Francisco,USA,ship-macys@example.com,(415) 555-2406,,,,,,,,,,,,,,,,,,2025-01-30,,FA13501DM-RINSEWSFT-27-32,,,,EA,,,,,,,3,3,0,0,,34.00,34.00,102.00,102.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
INV-SO2025-000004-000004,SO2025-000004,1,4,2025-07-03,2025-08-17,2025-07-03,2025-07-04,Etsy-LS,Etsy LS,,,USD,43.00,51.90,51.90,43.00,0.00,0,0.00,0,0.00,8.90,0.00,,,,,51.90,,0.00,,,,,,,,,,,,,,,,,,,,,10008,10571,10008-2025-000004,,,,,,,,Etsy LS Shipping,,Etsy LS Marketplace,205 Mission St,Dock 5,San Francisco,CA,94103,San Francisco,USA,ship-etsy-ls@example.com,(415) 555-1406,,,,,,,,,,,,,,,,,,2025-07-03,,CORA-01-YLW-7.5,,,,EA,,,,,,,4,4,0,0,,10.75,10.75,43.00,43.00,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,
