PoNum,PoType,PoStatus,PoDate,EtaShipDate,EtaArrivalDate,CancelDate,VendorCode,VendorName,Currency,SubTotalAmount,TotalAmount,TaxRate,TaxAmount,TaxableAmount,NonTaxableAmount,ShippingCarrier,ShippingClass,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,CustomerCode,CustomerName,OrderNumber,InvoiceNumber,ShipToName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAttention,BillToAddressLine1,BillToAddressLine2,BillToCity,BillToState,BillToStateFullName,BillToPostalCode,BillToPostalCodeExt,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,BillToNightPhone,Notes,Container,Seq,WarehouseCode,SKU,Description,ItemTotalAmount,PoQty,Price,ItemNotes,UPC,EAN,MPN,ExternalBarcode,VendorSku
PO2023000001,0,1,2023-01-16,2023-01-30,2023-02-01,2023-03-05,GOLDEN-SA,,USD,227.50,227.50,0,0.00,227.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,AVIANA-06-WHITE-5,FUR SLIPPER,227.50,14,16.25,,,,,,AVIANA-06-WHITE-5
PO2023000002,0,1,2023-01-12,2023-01-18,2023-02-01,2023-03-03,PACIFIC-CM,,USD,987.50,987.50,0,0.00,987.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,F13031C-1742VNTGDM-29-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,680.00,20,34.00,,809666255003,,,,F13031C-1742VNTGDM-29-STD
PO2023000002,0,1,2023-01-12,2023-01-18,2023-02-01,2023-03-03,PACIFIC-CM,,USD,987.50,987.50,0,0.00,987.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,CORA-01-TAUP-6,CROSS FRONT SANDAL,21.50,2,10.75,,,,,,CORA-01-TAUP-6
PO2023000002,0,1,2023-01-12,2023-01-18,2023-02-01,2023-03-03,PACIFIC-CM,,USD,987.50,987.50,0,0.00,987.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,01,173451-1183CITIZEN-25-STD,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,192.00,8,24.00,,809666377989,,,,173451-1183CITIZEN-25-STD
PO2023000002,0,1,2023-01-12,2023-01-18,2023-02-01,2023-03-03,PACIFIC-CM,,USD,987.50,987.50,0,0.00,987.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,01,F13031C-1742VNTGBJ-32-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,34.00,1,34.00,,809666254853,,,,F13031C-1742VNTGBJ-32-STD
PO2023000002,0,1,2023-01-12,2023-01-18,2023-02-01,2023-03-03,PACIFIC-CM,,USD,987.50,987.50,0,0.00,987.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,01,AUSTIN-06-BLUSH-6,SNEAKER,60.00,6,10.00,,,,,,AUSTIN-06-BLUSH-6
PO2023000003,0,1,2023-01-24,2023-02-09,2023-02-15,2023-02-28,SILICON-GC,,USD,329.75,329.75,0,0.00,329.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,CORA-01-BLK-6,CROSS FRONT SANDAL,161.25,15,10.75,,,,,,CORA-01-BLK-6
PO2023000003,0,1,2023-01-24,2023-02-09,2023-02-15,2023-02-28,SILICON-GC,,USD,329.75,329.75,0,0.00,329.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,F13031C-1742VNTGCO-27-STD,Cayden Vintage Beujolias Corduroy Skinny Jeans,136.00,4,34.00,,809666254891,,,,F13031C-1742VNTGCO-27-STD
PO2023000003,0,1,2023-01-24,2023-02-09,2023-02-15,2023-02-28,SILICON-GC,,USD,329.75,329.75,0,0.00,329.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,01,AVIANA-06-WHITE-6.5,FUR SLIPPER,32.50,2,16.25,,,,,,AVIANA-06-WHITE-6.5
PO2023000004,0,1,2023-01-12,2023-01-18,2023-01-26,2023-02-20,BAY-FW,,USD,2475.25,2475.25,0,0.00,2475.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,FD9801506P-BLACK-2X-STD,Natalia Solid Button-Up Wrap Lantern Sleeve Dress,490.00,10,49.00,,809666395297,,,,FD9801506P-BLACK-2X-STD
