OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
SO2026-000001,1,4,2026-02-26,2026-02-26,2026-02-28,2026-02-27,,,,,JCPenney,JCPenney,,30,USD,168.50,168.50,173.99,0.00,168.50,0,0.00,0,0.00,5.49,0.00,,,,,173.99,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,30007,10575,30007-2026-000001,,,,,,,,,JCPenney Shipping,Alex Reed,Zane Holt,JCPenney Stores,213 Gateway Rd,Dock 13,Retail ship location,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,,1,2026-02-26,CORA-01-YLW-5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,2,0,,2,,10.75,10.75,21.50,21.50,0.00,,21.50,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000001,1,4,2026-02-26,2026-02-26,2026-02-28,2026-02-27,,,,,JCPenney,JCPenney,,30,USD,168.50,168.50,173.99,0.00,168.50,0,0.00,0,0.00,5.49,0.00,,,,,173.99,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,30007,10575,30007-2026-000001,,,,,,,,,JCPenney Shipping,Alex Reed,Zane Holt,JCPenney Stores,213 Gateway Rd,Dock 13,Retail ship location,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,,2,2026-02-26,FD3601033-3022FROZENPD-L-STD,809666343823,,Jay-Low Tencel Denim Shirtdress - Chiffon Collar and Tie Sleeve,,,EA,,,,,,,,3,0,,3,,49.00,49.00,147.00,147.00,0.00,,147.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000002,1,4,2026-02-24,2026-02-24,2026-02-28,2026-02-26,,,,,Etsy-VS,Etsy VS,,60,USD,182.00,182.00,187.02,0.00,182.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10008,10572,10008-2026-000002,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,,1,2026-02-24,FA13512DM-1847DPOCN-32-32,809666865103,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,2,0,,2,,34.00,34.00,68.00,68.00,0.00,,68.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000002,1,4,2026-02-24,2026-02-24,2026-02-28,2026-02-26,,,,,Etsy-VS,Etsy VS,,60,USD,182.00,182.00,187.02,0.00,182.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10008,10572,10008-2026-000002,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,,2,2026-02-24,AUSTIN-06-CAMEL-7,,,SNEAKER,,,EA,,,,,,,,4,0,,4,,10.00,10.00,40.00,40.00,0.00,,40.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000002,1,4,2026-02-24,2026-02-24,2026-02-28,2026-02-26,,,,,Etsy-VS,Etsy VS,,60,USD,182.00,182.00,187.02,0.00,182.00,0,0.00,0,0.00,5.02,0.00,,,,,187.02,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10008,10572,10008-2026-000002,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,,3,2026-02-24,ADELINE-03-BROWN-8.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,4,0,,4,,18.50,18.50,74.00,74.00,0.00,,74.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000003,1,4,2026-01-23,2026-01-23,2026-02-22,2026-01-23,,,,,AMZ-eCom,AMZ eCom,,30,USD,248.50,248.50,257.73,0.00,248.50,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10001,10565,10001-2026-000003,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,,1,2026-01-23,ADELINE-03-GOLD-9,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,,3,,18.50,18.50,55.50,55.50,0.00,,55.50,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000003,1,4,2026-01-23,2026-01-23,2026-02-22,2026-01-23,,,,,AMZ-eCom,AMZ eCom,,30,USD,248.50,248.50,257.73,0.00,248.50,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10001,10565,10001-2026-000003,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,,2,2026-01-23,ADELINE-03-BLACK-7.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,2,0,,2,,18.50,18.50,37.00,37.00,0.00,,37.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000003,1,4,2026-01-23,2026-01-23,2026-02-22,2026-01-23,,,,,AMZ-eCom,AMZ eCom,,30,USD,248.50,248.50,257.73,0.00,248.50,0,0.00,0,0.00,9.23,0.00,,,,,257.73,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10001,10565,10001-2026-000003,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,,3,2026-01-23,FA16105WV-MIDNIGHTCAMO,,,Woven chiffon palazzo pant with elastic waist. Side entry pockets. Lined with a jersey short.,,,EA,,,,,,,,4,0,,4,,39.00,39.00,156.00,156.00,0.00,,156.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000004,1,4,2026-01-06,2026-01-10,2026-02-05,2026-01-06,,,,,Magento,Magento,,30,USD,129.00,129.00,145.93,0.00,129.00,0,0.00,0,0.00,16.93,0.00,,,,,145.93,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,20003,10581,20003-2026-000004,,,,,,,,,Magento Shipping,Morgan Lee,Cora Knox,Magento Platform,216 Century Blvd,Dock 16,Platform ship location,Los Angeles,CA,90008,Los Angeles,USA,ship-magento@example.com,(213) 555-2506,,,,,,,,,,,,,,,,,,,1,2026-01-06,CORA-01-YLW-B12,,,CROSS FRONT SANDAL,,,EA,,,,,,,,1,0,,1,,129.00,129.00,129.00,129.00,0.00,,129.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
SO2026-000005,1,4,2026-02-02,2026-02-02,2026-02-28,2026-02-03,,,,,Etsy-LS,Etsy LS,,45,USD,196.00,196.00,197.42,0.00,196.00,0,0.00,0,0.00,1.42,0.00,,,,,197.42,,0.00,,,,,,,,,,,,,,,Shipped,Paid,,,,,,,10008,10571,10008-2026-000005,,,,,,,,,Etsy LS Shipping,Alex Reed,Rhea Moss,Etsy LS Marketplace,205 Mission St,Dock 5,Marketplace ship location,San Francisco,CA,94103,San Francisco,USA,ship-etsy-ls@example.com,(415) 555-1406,,,,,,,,,,,,,,,,,,,1,2026-02-02,FD9801506P-BLACKBROWN-3X-STD,809666394986,,Natalia Leopard Print Button-up Wrap Dress,,,EA,,,,,,,,4,0,,4,,49.00,49.00,196.00,196.00,0.00,,196.00,Y,N,Y,Y,,,,,,,,,,,,Shipped,N,,,,,
