OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
SO2026-000001,1,0,2026-03-02,2026-03-02,2026-04-01,2026-03-03,,,,,JCPenney,JCPenney,,30,USD,118.00,118.00,123.72,118.00,0.00,0,0.00,0,0.00,5.72,0.00,,,,,123.72,,0.00,,,,,,,,,,,,,,,,,,,,,,,30007,10575,30007-2026-000001,,,,,,,,,JCPenney Shipping,Alex Reed,Zane Holt,JCPenney Stores,213 Gateway Rd,Dock 13,Retail ship location,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,,1,2026-03-02,CORA-01-FUCH-7.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,4,0,,4,,10.75,10.75,43.00,43.00,0.00,,43.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000001,1,0,2026-03-02,2026-03-02,2026-04-01,2026-03-03,,,,,JCPenney,JCPenney,,30,USD,118.00,118.00,123.72,118.00,0.00,0,0.00,0,0.00,5.72,0.00,,,,,123.72,,0.00,,,,,,,,,,,,,,,,,,,,,,,30007,10575,30007-2026-000001,,,,,,,,,JCPenney Shipping,Alex Reed,Zane Holt,JCPenney Stores,213 Gateway Rd,Dock 13,Retail ship location,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,,2,2026-03-02,CAMILA-06-NUDE-10,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,4,0,,4,,8.00,8.00,32.00,32.00,0.00,,32.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000001,1,0,2026-03-02,2026-03-02,2026-04-01,2026-03-03,,,,,JCPenney,JCPenney,,30,USD,118.00,118.00,123.72,118.00,0.00,0,0.00,0,0.00,5.72,0.00,,,,,123.72,,0.00,,,,,,,,,,,,,,,,,,,,,,,30007,10575,30007-2026-000001,,,,,,,,,JCPenney Shipping,Alex Reed,Zane Holt,JCPenney Stores,213 Gateway Rd,Dock 13,Retail ship location,San Diego,CA,92106,San Diego,USA,ship-jcpenney@example.com,(619) 555-2206,,,,,,,,,,,,,,,,,,,3,2026-03-02,CORA-01-LEOP-5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,4,0,,4,,10.75,10.75,43.00,43.00,0.00,,43.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000002,1,0,2026-03-01,2026-03-03,2026-03-31,2026-03-02,,,,,AMZ-eCom,AMZ eCom,,30,USD,79.50,79.50,80.57,79.50,0.00,0,0.00,0,0.00,1.07,0.00,,,,,80.57,,0.00,,,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-000002,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,,1,2026-03-01,ADELINE-03-TAUPE-8.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,,3,,18.50,18.50,55.50,55.50,0.00,,55.50,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000002,1,0,2026-03-01,2026-03-03,2026-03-31,2026-03-02,,,,,AMZ-eCom,AMZ eCom,,30,USD,79.50,79.50,80.57,79.50,0.00,0,0.00,0,0.00,1.07,0.00,,,,,80.57,,0.00,,,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-000002,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,,,,,,,,,,,,,2,2026-03-01,CAMILA-06-LILAC-8,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,3,0,,3,,8.00,8.00,24.00,24.00,0.00,,24.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000003,1,0,2026-03-03,2026-03-06,2026-04-02,2026-03-04,,,,,eBay,eBay,,30,USD,34.50,34.50,48.22,34.50,0.00,0,0.00,0,0.00,13.72,0.00,,,,,48.22,,0.00,,,,,,,,,,,,,,,,,,,,,,,10004,10570,10004-2026-000003,,,,,,,,,eBay Shipping,Morgan Lee,Quentin Hale,eBay Commerce,204 Fulfillment Ave,Dock 4,Standard ship location,San Jose,CA,95111,Santa Clara,USA,ship-ebay@example.com,(408) 555-1306,,,,,,,,,,,,,,,,,,,1,2026-03-03,ADELINE-02-WHITE-9.5,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,3,0,,3,,11.50,11.50,34.50,34.50,0.00,,34.50,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000004,1,0,2026-03-01,2026-03-03,2026-03-31,2026-03-02,,,,,Etsy-VS,Etsy VS,,30,USD,46.00,46.00,47.89,46.00,0.00,0,0.00,0,0.00,1.89,0.00,,,,,47.89,,0.00,,,,,,,,,,,,,,,,,,,,,,,10008,10572,10008-2026-000004,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,,,,,,,,,,,,,,,,,,,1,2026-03-01,ADELINE-02-NUDE-9,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,4,0,,4,,11.50,11.50,46.00,46.00,0.00,,46.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000005,1,0,2026-03-04,2026-03-06,2026-04-03,2026-03-04,,,,,Mirakl-HudsonsB,Mirakl HudsonsB,,30,USD,126.50,126.50,140.35,126.50,0.00,0,0.00,0,0.00,13.85,0.00,,,,,140.35,,0.00,,,,,,,,,,,,,,,,,,,,,,,10005,10577,10005-2026-000005,,,,,,,,,Mirakl HudsonsB Shipping,Morgan Lee,Yara Glenn,Mirakl HudsonsB Network,212 Quail Hill Pkwy,Dock 12,Network ship location,Irvine,CA,92607,Orange,USA,ship-mirakl-hudsonsb@example.com,(949) 555-2106,,,,,,,,,,,,,,,,,,,1,2026-03-04,CAMILA-06-TAUPE-10,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,2,0,,2,,8.00,8.00,16.00,16.00,0.00,,16.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000005,1,0,2026-03-04,2026-03-06,2026-04-03,2026-03-04,,,,,Mirakl-HudsonsB,Mirakl HudsonsB,,30,USD,126.50,126.50,140.35,126.50,0.00,0,0.00,0,0.00,13.85,0.00,,,,,140.35,,0.00,,,,,,,,,,,,,,,,,,,,,,,10005,10577,10005-2026-000005,,,,,,,,,Mirakl HudsonsB Shipping,Morgan Lee,Yara Glenn,Mirakl HudsonsB Network,212 Quail Hill Pkwy,Dock 12,Network ship location,Irvine,CA,92607,Orange,USA,ship-mirakl-hudsonsb@example.com,(949) 555-2106,,,,,,,,,,,,,,,,,,,2,2026-03-04,FA16023WV-SMOKEYROSE-S-STD,809666901139,,Olivia Gray Floral Print Kimono Chiffon Wrap Maxi Dress,,,EA,,,,,,,,2,0,,2,,39.00,39.00,78.00,78.00,0.00,,78.00,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
SO2026-000005,1,0,2026-03-04,2026-03-06,2026-04-03,2026-03-04,,,,,Mirakl-HudsonsB,Mirakl HudsonsB,,30,USD,126.50,126.50,140.35,126.50,0.00,0,0.00,0,0.00,13.85,0.00,,,,,140.35,,0.00,,,,,,,,,,,,,,,,,,,,,,,10005,10577,10005-2026-000005,,,,,,,,,Mirakl HudsonsB Shipping,Morgan Lee,Yara Glenn,Mirakl HudsonsB Network,212 Quail Hill Pkwy,Dock 12,Network ship location,Irvine,CA,92607,Orange,USA,ship-mirakl-hudsonsb@example.com,(949) 555-2106,,,,,,,,,,,,,,,,,,,3,2026-03-04,AVIANA-06-BLACK-7,,,FUR SLIPPER,,,EA,,,,,,,,2,0,,2,,16.25,16.25,32.50,32.50,0.00,,32.50,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
