OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
1,1,0,2026-03-03,2026-03-04,2026-04-02,2026-03-04,,,,,Walmart-eComm,Walmart eComm,,,USD,165.00,,178.63,,,0,0.00,,0.00,13.63,,,,,,178.63,,0.00,,,,,,,,,,,,,,,,,,,,,,,10002,10566,10002-2026-0303-000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,CORA-01-YLW-8,,,,,,EA,,,,,,,,2,0,,2,,10.75,,21.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
1,1,0,2026-03-03,2026-03-04,2026-04-02,2026-03-04,,,,,Walmart-eComm,Walmart eComm,,,USD,165.00,,178.63,,,0,0.00,,0.00,13.63,,,,,,178.63,,0.00,,,,,,,,,,,,,,,,,,,,,,,10002,10566,10002-2026-0303-000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,ASTRID-01-BLACK-5,,,,,,EA,,,,,,,,2,0,,2,,20.75,,41.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
1,1,0,2026-03-03,2026-03-04,2026-04-02,2026-03-04,,,,,Walmart-eComm,Walmart eComm,,,USD,165.00,,178.63,,,0,0.00,,0.00,13.63,,,,,,178.63,,0.00,,,,,,,,,,,,,,,,,,,,,,,10002,10566,10002-2026-0303-000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,F13031C-1742VNTGDM-24-STD,,,,,,EA,,,,,,,,3,0,,3,,34.00,,102.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
2,1,0,2026-03-02,2026-03-02,2026-04-01,2026-03-02,,,,,AMZ-eCom,AMZ eCom,,,USD,55.50,,65.48,,,0,0.00,,0.00,9.98,,,,,,65.48,,0.00,,,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-0302-000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,ADELINE-03-GOLD-9,,,,,,EA,,,,,,,,2,0,,2,,18.50,,37.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
2,1,0,2026-03-02,2026-03-02,2026-04-01,2026-03-02,,,,,AMZ-eCom,AMZ eCom,,,USD,55.50,,65.48,,,0,0.00,,0.00,9.98,,,,,,65.48,,0.00,,,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-0302-000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,ADELINE-03-TAUPE-11,,,,,,EA,,,,,,,,1,0,,1,,18.50,,18.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
3,1,0,2026-03-03,2026-03-05,2026-04-02,2026-03-04,,,,,Magento,Magento,,,USD,234.50,,250.13,,,0,0.00,,0.00,15.63,,,,,,250.13,,0.00,,,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-0303-000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,CAMILA-06-NUDE-9,,,,,,EA,,,,,,,,4,0,,4,,8.00,,32.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
3,1,0,2026-03-03,2026-03-05,2026-04-02,2026-03-04,,,,,Magento,Magento,,,USD,234.50,,250.13,,,0,0.00,,0.00,15.63,,,,,,250.13,,0.00,,,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-0303-000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,FD9801506P-BLACK-2X-STD,,,,,,EA,,,,,,,,3,0,,3,,49.00,,147.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
3,1,0,2026-03-03,2026-03-05,2026-04-02,2026-03-04,,,,,Magento,Magento,,,USD,234.50,,250.13,,,0,0.00,,0.00,15.63,,,,,,250.13,,0.00,,,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-0303-000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,ADELINE-03-TAUPE-6,,,,,,EA,,,,,,,,3,0,,3,,18.50,,55.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
4,1,0,2026-03-03,2026-03-08,2026-04-02,2026-03-05,,,,,Macys,Macys,,,USD,265.00,,265.87,,,0,0.00,,0.00,0.87,,,,,,265.87,,0.00,,,,,,,,,,,,,,,,,,,,,,,30005,10574,30005-2026-0303-000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,CORA-01-YLW-9.5,,,,,,EA,,,,,,,,4,0,,4,,10.75,,43.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
4,1,0,2026-03-03,2026-03-08,2026-04-02,2026-03-05,,,,,Macys,Macys,,,USD,265.00,,265.87,,,0,0.00,,0.00,0.87,,,,,,265.87,,0.00,,,,,,,,,,,,,,,,,,,,,,,30005,10574,30005-2026-0303-000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,ADELINE-03-BLACK-B12,,,,,,EA,,,,,,,,1,0,,1,,222.00,,222.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
5,1,0,2026-03-03,2026-03-04,2026-04-02,2026-03-04,,,,,AMZ-eCom,AMZ eCom,,,USD,41.50,,57.95,,,0,0.00,,0.00,16.45,,,,,,57.95,,0.00,,,,,,,,,,,,,,,,,,,,,,,10001,10565,10001-2026-0303-000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-03,ASTRID-01-GREY-12,,,,,,EA,,,,,,,,2,0,,2,,20.75,,41.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
6,1,0,2026-03-02,2026-03-05,2026-04-01,2026-03-03,,,,,Magento,Magento,,,USD,77.50,,88.89,,,0,0.00,,0.00,11.39,,,,,,88.89,,0.00,,,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-0302-000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,ADELINE-02-BLACK-11,,,,,,EA,,,,,,,,3,0,,3,,11.50,,34.50,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
6,1,0,2026-03-02,2026-03-05,2026-04-01,2026-03-03,,,,,Magento,Magento,,,USD,77.50,,88.89,,,0,0.00,,0.00,11.39,,,,,,88.89,,0.00,,,,,,,,,,,,,,,,,,,,,,,20003,10581,20003-2026-0302-000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,CORA-01-TAUP-5,,,,,,EA,,,,,,,,4,0,,4,,10.75,,43.00,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,
