OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
1,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Squarespace,Squarespace,,,USD,109.24,,126.36,,,0,0.00,0,0.00,17.12,,,,,,0,,126.36,,,,,,,,,,,,,,, , ,,,,,,,20006,10582,20006-260305-000001,,,,,,,,,Squarespace Shipping,Jamie Clark,Elin Marsh,Squarespace Digital,218 Camino Del Rio,Dock 18,Digital ship location,San Diego,CA,92108,San Diego,USA,ship-squarespace@example.com,(619) 555-2706,Squarespace Shipping,Squarespace Digital,218 Camino Del Rio,Dock 18,Digital ship location,San Diego,CA,92108,San Diego,USA,ship-squarespace@example.com,(619) 555-2706,,,,,,,1,2026-03-05,CAMILA-06-LILAC-5.5,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,4,0,0,4,,27.31,,109.24,109.24,0.00,0.00,109.24,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
2,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,68.52,,73.09,,,0,0.00,0,0.00,4.57,,,,,,0,,73.09,,,,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260305-000002,,,,,,,,,Veeqo Amazon Shipping,Jamie Clark,Owen Pike,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,Veeqo Amazon Shipping,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,,,,,,,1,2026-03-05,ADELINE-03-BROWN-8,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,0,3,,22.84,,68.52,68.52,0.00,0.00,68.52,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
3,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,89.68,,92.65,,,0,0.00,0,0.00,2.97,,,,,,0,,92.65,,,,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260305-000003,,,,,,,,,Veeqo Amazon Shipping,Jamie Clark,Owen Pike,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,Veeqo Amazon Shipping,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,,,,,,,1,2026-03-05,AUSTIN-06-NUDE-7.5,,,SNEAKER,,,EA,,,,,,,,2,0,0,2,,44.84,,89.68,89.68,0.00,0.00,89.68,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
4,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Shopify,Shopify,,,USD,49.16,,65.54,,,0,0.00,0,0.00,16.38,,,,,,0,,65.54,,,,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260305-000004,,,,,,,,,Shopify Shipping,Alex Reed,Dario Lowe,Shopify Commerce,217 Barranca Pkwy,Dock 17,Commerce ship location,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,Shopify Shipping,Shopify Commerce,217 Barranca Pkwy,Dock 17,Commerce ship location,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,,,,,,,1,2026-03-05,ADELINE-03-GOLD-6.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,4,0,0,4,,12.29,,49.16,49.16,0.00,0.00,49.16,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
5,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Magento,Magento,,,USD,77.10,,80.69,,,0,0.00,0,0.00,3.59,,,,,,0,,80.69,,,,,,,,,,,,,,, , ,,,,,,,20003,10581,20003-260305-000005,,,,,,,,,Magento Shipping,Morgan Lee,Cora Knox,Magento Platform,216 Century Blvd,Dock 16,Platform ship location,Los Angeles,CA,90008,Los Angeles,USA,ship-magento@example.com,(213) 555-2506,Magento Shipping,Magento Platform,216 Century Blvd,Dock 16,Platform ship location,Los Angeles,CA,90008,Los Angeles,USA,ship-magento@example.com,(213) 555-2506,,,,,,,1,2026-03-05,FA13512DM-1847DPOCN-32-32,,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,77.10,,77.10,77.10,0.00,0.00,77.10,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
6,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,AMZ-eCom,AMZ eCom,,,USD,79.93,,92.36,,,0,0.00,0,0.00,12.43,,,,,,0,,92.36,,,,,,,,,,,,,,, , ,,,,,,,10001,10565,10001-260305-000006,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,AMZ eCom Shipping,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,1,2026-03-05,F13T007SS-CABERNET-M-STD,,,S&P V-neck Sleeveless Peplum Blouse Front Hook-and-eye Closu,,,EA,,,,,,,,1,0,0,1,,79.93,,79.93,79.93,0.00,0.00,79.93,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
7,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,AMZ-eCom,AMZ eCom,,,USD,66.20,,76.15,,,0,0.00,0,0.00,9.95,,,,,,0,,76.15,,,,,,,,,,,,,,, , ,,,,,,,10001,10565,10001-260305-000007,,,,,,,,,AMZ eCom Shipping,Alex Reed,Nora Lane,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,AMZ eCom Shipping,AMZ eCom Retail,201 Harbor Ave,Dock 1,Main ship location,Los Angeles,CA,90002,Los Angeles,USA,ship-amz-ecom@example.com,(213) 555-1006,,,,,,,1,2026-03-05,CORA-01-BLK-5.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,2,0,0,2,,33.10,,66.20,66.20,0.00,0.00,66.20,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
8,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Etsy-LS,Etsy LS,,,USD,111.84,,118.51,,,0,0.00,0,0.00,6.67,,,,,,0,,118.51,,,,,,,,,,,,,,, , ,,,,,,,10008,10571,10008-260305-000008,,,,,,,,,Etsy LS Shipping,Alex Reed,Rhea Moss,Etsy LS Marketplace,205 Mission St,Dock 5,Marketplace ship location,San Francisco,CA,94103,San Francisco,USA,ship-etsy-ls@example.com,(415) 555-1406,Etsy LS Shipping,Etsy LS Marketplace,205 Mission St,Dock 5,Marketplace ship location,San Francisco,CA,94103,San Francisco,USA,ship-etsy-ls@example.com,(415) 555-1406,,,,,,,1,2026-03-05,AVIANA-06-BEIGE-5.5,,,FUR SLIPPER,,,EA,,,,,,,,4,0,0,4,,27.96,,111.84,111.84,0.00,0.00,111.84,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
9,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,65.84,,70.49,,,0,0.00,0,0.00,4.65,,,,,,0,,70.49,,,,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260305-000009,,,,,,,,,Veeqo Amazon Shipping,Jamie Clark,Owen Pike,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,Veeqo Amazon Shipping,Veeqo Amazon Retail,202 Distribution Way,Dock 2,Regional ship location,Irvine,CA,92603,Orange,USA,ship-veeqo-amazon@example.com,(949) 555-1106,,,,,,,1,2026-03-05,ASTRID-01-BLUSH-8,,,SLIP ON SNEAKER,,,EA,,,,,,,,4,0,0,4,,16.46,,65.84,65.84,0.00,0.00,65.84,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
10,1,0,2026-03-05,2026-03-07,2026-04-04,2026-03-05,,,,,Mirakl-Kohls,Mirakl Kohls,,,USD,72.01,,72.01,,,0,0.00,0,0.00,0.00,,,,,,0,,72.01,,,,,,,,,,,,,,, , ,,,,,,,10013,10576,10013-260305-000010,,,,,,,,,Mirakl Kohls Shipping,Jamie Clark,Asha Ives,Mirakl Kohls Network,214 Silver Creek Rd,Dock 14,Partner ship location,San Jose,CA,95115,Santa Clara,USA,ship-mirakl-kohls@example.com,(408) 555-2306,Mirakl Kohls Shipping,Mirakl Kohls Network,214 Silver Creek Rd,Dock 14,Partner ship location,San Jose,CA,95115,Santa Clara,USA,ship-mirakl-kohls@example.com,(408) 555-2306,,,,,,,1,2026-03-05,ADELINE-03-BROWN-7.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,1,0,0,1,,72.01,,72.01,72.01,0.00,0.00,72.01,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
