OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
20260313-1,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Squarespace,Squarespace,,,USD,89.94,,101.58,,,0,0.00,0,0.00,11.64,,,,,,0,,101.58,,Rina Patel,Sam Lee,,,,,,,,,,,, , ,,,,,,,20006,10582,20006-260313-000001,,,,,,,,,Squarespace Shipping,Jamie Clark,Elin Marsh,Squarespace Digital,218 Camino Del Rio,Dock 18,Digital ship location,San Diego,CA,92108,San Diego,USA,ship-squarespace@example.com,(619) 555-2706,Squarespace Billing,Squarespace Digital,118 Pacific Hwy,Suite 280,Digital billing profile,San Diego,CA,92107,San Diego,USA,billing-squarespace@example.com,(619) 555-2705,,,,,,,1,2026-03-13,ADELINE-03-BLUE-7,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,0,3,,29.98,,89.94,89.94,0.00,0.00,89.94,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-2,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,eBay,eBay,,,USD,76.25,,83.57,,,0,0.00,0,0.00,7.32,,,,,,0,,83.57,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,10004,10570,10004-260313-000002,,,,,,,,,eBay Shipping,Morgan Lee,Quentin Hale,eBay Commerce,204 Fulfillment Ave,Dock 4,Standard ship location,San Jose,CA,95111,Santa Clara,USA,ship-ebay@example.com,(408) 555-1306,eBay Billing,eBay Commerce,104 Orchard St,Suite 140,Standard billing profile,San Jose,CA,95110,Santa Clara,USA,billing-ebay@example.com,(408) 555-1305,,,,,,,1,2026-03-13,F13031C-1742VNTGDM-29-STD,,,Cayden Vintage Beujolias Corduroy Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,35.15,,35.15,35.15,0.00,0.00,35.15,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-2,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,eBay,eBay,,,USD,76.25,,83.57,,,0,0.00,0,0.00,7.32,,,,,,0,,83.57,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,10004,10570,10004-260313-000002,,,,,,,,,eBay Shipping,Morgan Lee,Quentin Hale,eBay Commerce,204 Fulfillment Ave,Dock 4,Standard ship location,San Jose,CA,95111,Santa Clara,USA,ship-ebay@example.com,(408) 555-1306,eBay Billing,eBay Commerce,104 Orchard St,Suite 140,Standard billing profile,San Jose,CA,95110,Santa Clara,USA,billing-ebay@example.com,(408) 555-1305,,,,,,,2,2026-03-13,AVIANA-06-BLACK-5,,,FUR SLIPPER,,,EA,,,,,,,,3,0,0,3,,13.70,,41.10,41.10,0.00,0.00,41.10,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-3,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Etsy-VS,Etsy VS,,,USD,52.80,,62.30,,,0,0.00,0,0.00,9.50,,,,,,0,,62.30,,Rina Patel,Dana Ross,,,,,,,,,,,, , ,,,,,,,10008,10572,10008-260313-000003,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,Etsy VS Billing,Etsy VS Marketplace,106 Broadway Ave,Suite 160,Seasonal billing profile,Los Angeles,CA,90003,Los Angeles,USA,billing-etsy-vs@example.com,(213) 555-1505,,,,,,,1,2026-03-13,CORA-01-YLW-A12,,,CROSS FRONT SANDAL,,,EA,,,,,,,,4,0,0,4,,13.20,,52.80,52.80,0.00,0.00,52.80,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-4,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Shopify,Shopify,,,USD,94.41,,94.41,,,0,0.00,0,0.00,0.00,,,,,,0,,94.41,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260313-000004,,,,,,,,,Shopify Shipping,Alex Reed,Dario Lowe,Shopify Commerce,217 Barranca Pkwy,Dock 17,Commerce ship location,Irvine,CA,92609,Orange,USA,ship-shopify@example.com,(949) 555-2606,Shopify Billing,Shopify Commerce,117 Alton Pkwy,Suite 270,Commerce billing profile,Irvine,CA,92608,Orange,USA,billing-shopify@example.com,(949) 555-2605,,,,,,,1,2026-03-13,CAMILA-06-LILAC-5.5,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,3,0,0,3,,31.47,,94.41,94.41,0.00,0.00,94.41,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-5,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Walmart-eComm,Walmart eComm,,,USD,125.63,,142.05,,,0,0.00,0,0.00,16.42,,,,,,0,,142.05,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260313-000005,,,,,,,,,Walmart eComm Shipping,Morgan Lee,Gavin Orr,Walmart eComm Retail,220 Townsend St,Dock 20,National ship location,San Francisco,CA,94109,San Francisco,USA,ship-walmart-ecomm@example.com,(415) 555-2906,Walmart eComm Billing,Walmart eComm Retail,120 Brannan St,Suite 300,National billing profile,San Francisco,CA,94108,San Francisco,USA,billing-walmart-ecomm@example.com,(415) 555-2905,,,,,,,1,2026-03-13,CORA-01-BLK-9.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,1,0,0,1,,32.33,,32.33,32.33,0.00,0.00,32.33,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-5,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Walmart-eComm,Walmart eComm,,,USD,125.63,,142.05,,,0,0.00,0,0.00,16.42,,,,,,0,,142.05,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260313-000005,,,,,,,,,Walmart eComm Shipping,Morgan Lee,Gavin Orr,Walmart eComm Retail,220 Townsend St,Dock 20,National ship location,San Francisco,CA,94109,San Francisco,USA,ship-walmart-ecomm@example.com,(415) 555-2906,Walmart eComm Billing,Walmart eComm Retail,120 Brannan St,Suite 300,National billing profile,San Francisco,CA,94108,San Francisco,USA,billing-walmart-ecomm@example.com,(415) 555-2905,,,,,,,2,2026-03-13,AUSTIN-06-CAMEL-6.5,,,SNEAKER,,,EA,,,,,,,,2,0,0,2,,39.38,,78.76,78.76,0.00,0.00,78.76,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-5,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Walmart-eComm,Walmart eComm,,,USD,125.63,,142.05,,,0,0.00,0,0.00,16.42,,,,,,0,,142.05,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260313-000005,,,,,,,,,Walmart eComm Shipping,Morgan Lee,Gavin Orr,Walmart eComm Retail,220 Townsend St,Dock 20,National ship location,San Francisco,CA,94109,San Francisco,USA,ship-walmart-ecomm@example.com,(415) 555-2906,Walmart eComm Billing,Walmart eComm Retail,120 Brannan St,Suite 300,National billing profile,San Francisco,CA,94108,San Francisco,USA,billing-walmart-ecomm@example.com,(415) 555-2905,,,,,,,3,2026-03-13,FA13501DM-RINSEWSFT-26-30,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,14.54,,14.54,14.54,0.00,0.00,14.54,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-6,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Walmart-eComm,Walmart eComm,,,USD,123.03,,137.13,,,0,0.00,0,0.00,14.10,,,,,,0,,137.13,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260313-000006,,,,,,,,,Walmart eComm Shipping,Morgan Lee,Gavin Orr,Walmart eComm Retail,220 Townsend St,Dock 20,National ship location,San Francisco,CA,94109,San Francisco,USA,ship-walmart-ecomm@example.com,(415) 555-2906,Walmart eComm Billing,Walmart eComm Retail,120 Brannan St,Suite 300,National billing profile,San Francisco,CA,94108,San Francisco,USA,billing-walmart-ecomm@example.com,(415) 555-2905,,,,,,,1,2026-03-13,173451-1183CITIZEN-9-34,,,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,,EA,,,,,,,,3,0,0,3,,41.01,,123.03,123.03,0.00,0.00,123.03,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260313-7,1,0,2026-03-13,2026-03-15,2026-04-12,2026-03-13,,,,,Etsy-VS,Etsy VS,,,USD,63.91,,64.15,,,0,0.00,0,0.00,0.24,,,,,,0,,64.15,,Rina Patel,Dana Ross,,,,,,,,,,,, , ,,,,,,,10008,10572,10008-260313-000007,,,,,,,,,Etsy VS Shipping,Jamie Clark,Soren Vale,Etsy VS Marketplace,206 Pacific Hwy,Dock 6,Seasonal ship location,Los Angeles,CA,90004,Los Angeles,USA,ship-etsy-vs@example.com,(213) 555-1506,Etsy VS Billing,Etsy VS Marketplace,106 Broadway Ave,Suite 160,Seasonal billing profile,Los Angeles,CA,90003,Los Angeles,USA,billing-etsy-vs@example.com,(213) 555-1505,,,,,,,1,2026-03-13,CAMILA-06-TAUPE-5.5,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,2,0,0,2,,16.74,,33.48,33.48,0.00,0.00,33.48,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
