PoNum,PoType,PoStatus,PoDate,EtaShipDate,EtaArrivalDate,CancelDate,VendorCode,VendorName,Currency,SubTotalAmount,TotalAmount,TaxRate,TaxAmount,TaxableAmount,NonTaxableAmount,ShippingCarrier,ShippingClass,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,CustomerCode,CustomerName,OrderNumber,InvoiceNumber,ShipToName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAttention,BillToAddressLine1,BillToAddressLine2,BillToCity,BillToState,BillToStateFullName,BillToPostalCode,BillToPostalCodeExt,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,BillToNightPhone,Notes,Container,Seq,WarehouseCode,SKU,Description,ItemTotalAmount,PoQty,Price,ItemNotes,UPC,EAN,MPN,ExternalBarcode,VendorSku
500403,0,0,1/29/2026 0:21,3/25/2026 23:27,4/17/2026 23:27,3/25/2026 23:27,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原FB3610680P-3222DKBLUE改洗水，去掉破洞，去掉裤脚不同颜色，只保留1/2寸毛边且必须在3/4处车一条安全线。,,1,01,FB3602079P-BLUEFRAYED-14-STD,High-Rise Cropped Wide Leg Jeans Released Hem,552,40,13.8,,8.09666E+11,,,,
500403,0,0,1/29/2026 0:21,3/25/2026 23:27,4/17/2026 23:27,3/25/2026 23:27,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原FB3610680P-3222DKBLUE改洗水，去掉破洞，去掉裤脚不同颜色，只保留1/2寸毛边且必须在3/4处车一条安全线。,,2,01,FB3602079P-BLUEFRAYED-16-STD,High-Rise Cropped Wide Leg Jeans Released Hem,897,65,13.8,,8.09666E+11,,,,
500403,0,0,1/29/2026 0:21,3/25/2026 23:27,4/17/2026 23:27,3/25/2026 23:27,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原FB3610680P-3222DKBLUE改洗水，去掉破洞，去掉裤脚不同颜色，只保留1/2寸毛边且必须在3/4处车一条安全线。,,3,01,FB3602079P-BLUEFRAYED-18-STD,High-Rise Cropped Wide Leg Jeans Released Hem,897,65,13.8,,8.09666E+11,,,,
500403,0,0,1/29/2026 0:21,3/25/2026 23:27,4/17/2026 23:27,3/25/2026 23:27,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原FB3610680P-3222DKBLUE改洗水，去掉破洞，去掉裤脚不同颜色，只保留1/2寸毛边且必须在3/4处车一条安全线。,,4,01,FB3602079P-BLUEFRAYED-20-STD,High-Rise Cropped Wide Leg Jeans Released Hem,552,40,13.8,,8.09666E+11,,,,
500403,0,0,1/29/2026 0:21,3/25/2026 23:27,4/17/2026 23:27,3/25/2026 23:27,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原FB3610680P-3222DKBLUE改洗水，去掉破洞，去掉裤脚不同颜色，只保留1/2寸毛边且必须在3/4处车一条安全线。,,5,01,FB3602079P-BLUEFRAYED-22-STD,High-Rise Cropped Wide Leg Jeans Released Hem,414,30,13.8,,8.09666E+11,,,,
500404,0,0,1/29/2026 0:43,3/25/2026 23:44,3/30/2026 6:43,3/25/2026 23:44,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原PJ-FA13537DMB-1791SHRDIL，只是改为SP，且款号改为FB3602078P，出货裤脚要卷两下，大约2寸高。,,1,01,FB3602078P-1791SHRDIL-14-STD,Basic Boyfriend Jean In Boyfriend Fit,552,40,13.8,,8.09666E+11,,,,
500404,0,0,1/29/2026 0:43,3/25/2026 23:44,3/30/2026 6:43,3/25/2026 23:44,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原PJ-FA13537DMB-1791SHRDIL，只是改为SP，且款号改为FB3602078P，出货裤脚要卷两下，大约2寸高。,,2,01,FB3602078P-1791SHRDIL-16-STD,Basic Boyfriend Jean In Boyfriend Fit,897,65,13.8,,8.09666E+11,,,,
500404,0,0,1/29/2026 0:43,3/25/2026 23:44,3/30/2026 6:43,3/25/2026 23:44,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原PJ-FA13537DMB-1791SHRDIL，只是改为SP，且款号改为FB3602078P，出货裤脚要卷两下，大约2寸高。,,3,01,FB3602078P-1791SHRDIL-18-STD,Basic Boyfriend Jean In Boyfriend Fit,897,65,13.8,,8.09666E+11,,,,
500404,0,0,1/29/2026 0:43,3/25/2026 23:44,3/30/2026 6:43,3/25/2026 23:44,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原PJ-FA13537DMB-1791SHRDIL，只是改为SP，且款号改为FB3602078P，出货裤脚要卷两下，大约2寸高。,,4,01,FB3602078P-1791SHRDIL-20-STD,Basic Boyfriend Jean In Boyfriend Fit,552,40,13.8,,8.09666E+11,,,,
500404,0,0,1/29/2026 0:43,3/25/2026 23:44,3/30/2026 6:43,3/25/2026 23:44,VEND1000,"
Sanchez-Taylor",,3312,3312,0,0,0,0,,,0,0,,,,,,,,,,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",1434 Santa Anita Ave,,South El Monte,CA,91733,,United States,jimmy.xu@vibesbase.com,6263383838,"Vibes Base Enterprises, Inc.","Vibes Base Enterprises, Inc.",Petersen Zhu,1434 Santa Anita Ave,,South El Monte,California,United States,91733,91733,Los Angeles,USA,jimmy.xu@vibesbase.com,626-338-3838,626-338-3838,原PJ-FA13537DMB-1791SHRDIL，只是改为SP，且款号改为FB3602078P，出货裤脚要卷两下，大约2寸高。,,5,01,FB3602078P-1791SHRDIL-22-STD,Basic Boyfriend Jean In Boyfriend Fit,414,30,13.8,,8.09666E+11,,,,
