OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
100636478-522648,1,4,12/23/2025 0:32,12/23/2025 1:13,12/23/2025 0:32,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,78,78,78,78,0,0,0,0,0,0,0,0,0,0,78,0,0,78,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2,0,,,,,,,0,,FreeEconomy,,,10001,10003,113-5029507-0501840,,,,,,,,,Michael Orlando,Michael,Orlando,,2307 CENTRAL AVE,,,MATAWAN,NJ,07747-1070,,US,,+1 619-854-2705 ext. 29477,,,,,,,,,,,,,,,01,,,,1,12/23/2025 0:32,LV125198-1247PENZOIL-42-32,8.09666E+11,,,,Level 7 Men's Relaxed Straight Premium Denim Jeans Dirty Tinted Whiskering Wash Signature 5 Pocket Jeans Size 42X32,EA,EA,1,0,1,0,0,1,1,1,0,0,,78,78,78,78,78,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50098E+14,,,,
100636490-522660,1,4,12/23/2025 2:35,12/23/2025 3:15,12/23/2025 2:35,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,78,78,78,78,0,0,0,0,0,0,0,0,0,0,83.66,0,0,78,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2,0,,,,,,,0,,FreeEconomy,,,10001,10003,112-0217262-8654626,,,,,,,,,SAM WILLIAMS,SAM,WILLIAMS,,289 UNIVERSITY AVE,,,PAINESVILLE,OH,44077-2701,,US,,,,,,,,,,,,,,,,,01,,,,1,12/23/2025 2:35,LV115178-913RAINMAN-38-30,8.09666E+11,,,,Level 7 Men's Relaxed Bootcut Denim Distressed Jeans with Zipper Pocket Size 38X30,EA,EA,1,0,1,0,0,1,1,1,0,0,,78,78,78,78,78,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50104E+14,,,,
100636502-522671,1,4,12/23/2025 11:05,12/23/2025 11:46,12/23/2025 11:05,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,78,78,78,78,0,0,0,0,0,0,0,0,0,0,83.46,0,0,78,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2,0,,,,,,,0,,Standard,,,10001,10003,113-9064539-0173044,,,,,,,,,Jessica Boller,Jessica,Boller,,1420 DALLAS ST,,,AUBURN,IN,46706-2705,,US,,+1 763-225-9463 ext. 53503,,,,,,,,,,,,,,,01,,,,1,12/23/2025 11:05,LV115198-327BLUEBOY-42-32,8.09666E+11,,,,"Level 7 Men Midrise Relaxed Blue Boy Boot Cut Premium Denim Jeans Whiskering Medium Blue,Blue Boy,42W x 32L",EA,EA,1,0,1,0,0,1,1,1,0,0,,78,78,78,78,78,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50191E+14,,,,
100636525-522694,1,4,12/23/2025 21:00,12/23/2025 21:45,12/23/2025 21:00,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,32.99,32.99,32.99,32.99,0,0,0,0,0,0,0,0,0,0,34.97,0,0,32.99,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,1.4,0,,,,,,,0,,Standard,,,10001,10003,111-5870097-1416224,,,,,,,,,Aaron  Coin,Aaron,Coin,,1953 NASHVILLE RD APT B,,,BOWLING GREEN,KY,42101-3844,,US,,+1 602-671-6610 ext. 50230,,,,,,,,,,,,,,,01,,,,1,12/23/2025 21:00,11050401-CHARCOAL-L-STD,8.09666E+11,,,,VIBES Men's Fleece Cargo Sweatpants Relax Fit Bungee Cord Open Bottom Size L Charcoal,EA,EA,1,0,1,0,0,1,1,1,0,0,,32.99,32.99,32.99,32.99,32.99,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50225E+14,,,,
100636528-522697,1,4,12/23/2025 21:34,12/23/2025 22:15,12/23/2025 21:34,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,78,78,78,78,0,0,0,0,0,0,0,0,0,0,83.85,0,0,78,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2,0,,,,,,,0,,Standard,,,10001,10003,113-9094410-7684206,,,,,,,,,Geovanny Rodriguez,Geovanny,Rodriguez,,1301 N SAINT PAUL ST,,,WICHITA,KS,67203-6641,,US,,+1 602-671-6610 ext. 38699,,,,,,,,,,,,,,,01,,,,1,12/23/2025 21:34,LV115178-913RAINMAN-40-32,8.09666E+11,,,,Level 7 Men's Relaxed Bootcut Denim Distressed Jeans with Zipper Pocket Size 40X32,EA,EA,1,0,1,0,0,1,1,1,0,0,,78,78,78,78,78,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.5023E+14,,,,
100636531-522700,1,4,12/23/2025 21:46,12/23/2025 22:28,12/23/2025 21:46,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,65.98,65.98,65.98,65.98,0,0,0,0,0,0,0,0,0,0,70.44,0,0,65.98,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2.8,0,,,,,,,0,,Standard,,,10001,10003,113-9895710-1187440,,,,,,,,,Tammie Mask,Tammie,Mask,,106 KNOLLWOOD ST,,,LUFKIN,TX,75904-7560,,US,,+1 346-307-9643 ext. 49939,,,,,,,,,,,,,,,01,,,,1,12/23/2025 21:46,11050401-CHARCOAL-2XL-STD,8.09666E+11,,,,VIBES Men's Fleece Cargo Sweatpants Relax Fit Bungee Cord Open Bottom Size 2XL Charcoal,EA,EA,1,0,1,0,0,1,1,1,0,0,,32.99,32.99,32.99,32.99,32.99,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50232E+14,,,,
100636531-522700,1,4,12/23/2025 21:46,12/23/2025 22:28,12/23/2025 21:46,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,65.98,65.98,65.98,65.98,0,0,0,0,0,0,0,0,0,0,70.44,0,0,65.98,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2.8,0,,,,,,,0,,Standard,,,10001,10003,113-9895710-1187440,,,,,,,,,Tammie Mask,Tammie,Mask,,106 KNOLLWOOD ST,,,LUFKIN,TX,75904-7560,,US,,+1 346-307-9643 ext. 49939,,,,,,,,,,,,,,,01,,,,2,12/23/2025 21:46,11050401-BLACK-2XL-STD,8.09666E+11,,,,VIBES Men's Fleece Cargo Sweatpants Relax Fit Bungee Cord Open Bottom Size 2XL Black,EA,EA,1,0,1,0,0,1,1,1,0,0,,32.99,32.99,32.99,32.99,32.99,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50232E+14,,,,
100636537-522706,1,4,12/23/2025 23:12,12/24/2025 0:00,12/23/2025 23:12,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,78,78,78,78,0,0,0,0,0,0,0,0,0,0,83.66,0,0,78,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2,0,,,,,,,0,,Standard,,,10001,10003,114-9501759-0101060,,,,,,,,,Kristoffer Van Horn,Kristoffer,Horn,,1708 S ST RT 72,,,Sabina,OH,45169,,US,,+1 314-282-9402 ext. 60502,,,,,,,,,,,,,,,01,,,,1,12/23/2025 23:12,LV115178-913RAINMAN-36-34,8.09666E+11,,,,Level 7 Men's Relaxed Bootcut Denim Distressed Jeans with Zipper Pocket Size 36X34,EA,EA,1,0,1,0,0,1,1,1,0,0,,78,78,78,78,78,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50233E+14,,,,
100636569-522736,1,4,12/24/2025 11:57,12/24/2025 12:45,12/24/2025 11:57,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,65.98,65.98,65.98,65.98,0,0,0,0,0,0,0,0,0,0,69.6,0,0,65.98,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2.8,0,,,,,,,0,,Standard,,,10001,10003,112-6027771-6861016,,,,,,,,,Jessica Lynn Watkins,Jessica,Watkins,,1508 E GUNN ST,,,APPLETON,WI,54915-2738,,US,,+1 213-442-1463 ext. 36269,,,,,,,,,,,,,,,01,,,,1,12/24/2025 11:57,11050401-LTGR-M-STD,8.09666E+11,,,,"Vibes ProActive Men's Fleece Cargo Pants Relax Fit Open Bottom Drawstring, Light Grey, Medium",EA,EA,1,0,1,0,0,1,1,1,0,0,,32.99,32.99,32.99,32.99,32.99,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50252E+14,,,,
100636569-522736,1,4,12/24/2025 11:57,12/24/2025 12:45,12/24/2025 11:57,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,,FALSE,ALVAREZ304,Alvarez LLC,,0,,65.98,65.98,65.98,65.98,0,0,0,0,0,0,0,0,0,0,69.6,0,0,65.98,0,steve.hagstrom@vibesbase.com,,,,0.02,0,0,0,2.8,0,,,,,,,0,,Standard,,,10001,10003,112-6027771-6861016,,,,,,,,,Jessica Lynn Watkins,Jessica,Watkins,,1508 E GUNN ST,,,APPLETON,WI,54915-2738,,US,,+1 213-442-1463 ext. 36269,,,,,,,,,,,,,,,01,,,,2,12/24/2025 11:57,11050401-ROBL-M-STD,8.09666E+11,,,,Vibes ProActive Men's Royal Blue Fleece Cargo Pants Relax Fit Open Bottom Royal Blue Medium,EA,EA,1,0,1,0,0,1,1,1,0,0,,32.99,32.99,32.99,32.99,32.99,0,0,FALSE,TRUE,FALSE,FALSE,12/28/1800 12:00:00 AM,12/28/1800 12:00:00 AM,,0,,0,0,0,0,,,,,1.50252E+14,,,,
